title	authors	year	volume	issue	pages	abstract	pubmed	lab	people	tags	url
Phf6 loss enhances HSC self-renewal driving tumor initiation and leukemia stem cell activity in T-ALL	Wendorff AA;Quinn SA;Rashkovan M;Madubata CJ;Ambesi-Impiombato A;Litzow MR;Tallman MS;Paietta E;Paganin M;Basso G;Gastier-Foster JM;Loh ML;Rabadan R;Van Vlierberghe;Ferrando AA	2019	9	3	436-451			adolfo-ferrando	adolfo-ferrando	Article	
Oncogenic hijacking of the stress response machinery in T cell acute lymphoblastic leukemia	Kourtis N;Lazaris C;Hockemeyer K;Balandrán JC;Jimenez AR;Mullenders J;Gong Y;Trimarchi T;Bhatt K;Hu H;Shrestha L;Ambesi-Impiombato A;Kelliher M;Paietta E;Chiosis G;Guzman ML;Ferrando AA;Tsirigos A;Aifantis I	2018	24	8	1157-1166			adolfo-ferrando	adolfo-ferrando	Article	
Structure and mechanisms of NT5C2 mutations driving thiopurine resistance in relapsed lymphoblastic leukemia	Dieck CL;Tzoneva G;Forouhar F;Carpenter Z;Ambesi-Impiombato A;Sánchez-Martín M;Kirschner-Schwabe R;Lew S;Seetharaman J;Tong L;Ferrando AA	2018	34	1	136-147			adolfo-ferrando	adolfo-ferrando	Article	
Clonal evolution mechanisms in NT5C2 mutant-relapsed acute lymphoblastic leukaemia	Tzoneva G;Dieck CL;Oshima K;Ambesi-Impiombato A;Sánchez-Martín M;Madubata CJ;Khiabanian H;Yu J;Waanders E;Iacobucci I;Sulis ML;Kato M;Koh K;Paganin M;Basso G;Gastier-Foster JM;Loh ML;Kirschner-Schwabe R;Mullighan CG;Rabadan R;Ferrando AA	2018	553	7689	511-514			adolfo-ferrando	adolfo-ferrando	Article	
Targeted cellular immunotherapy for T cell malignancies	Palomero T;Ferrando A	2017	23	12	1402-1403			adolfo-ferrando	adolfo-ferrando	Article	
Clonal evolution in leukemia	Ferrando AA;López-Otín C	2017	23	10	1135-1145			adolfo-ferrando	adolfo-ferrando	Article	
Synergistic antileukemic therapies in NOTCH1-induced T-ALL	Sanchez-Martin M;Ambesi-Impiombato A;Qin Y;Herranz D;Bansal M;Girardi T;Paietta E;Tallman MS;Rowe JM;De Keersmaecker;Califano A;Ferrando AA	2017	114	8	2006-2011			adolfo-ferrando	adolfo-ferrando	Article	
The NOTCH1-MYC highway toward T-cell acute lymphoblastic leukemia	Sanchez-Martin M;Ferrando A	2017	129	9	1124-1133			adolfo-ferrando	adolfo-ferrando	Article	
Mutational landscape, clonal evolution patterns, and role of RAS mutations in relapsed acute lymphoblastic leukemia	Oshima K;Khiabanian H;da Silva-Almeida;Tzoneva G;Abate F;Ambesi-Impiombato A;Sanchez-Martin M;Carpenter Z;Penson A;Perez-Garcia A;Eckert C;Nicolas C;Balbin M;Sulis ML;Kato M;Koh K;Paganin M;Basso G;Gastier-Foster JM;Devidas M;Loh ML;Kirschner-Schwabe R;Palomero T;Rabadan R;Ferrando AA	2016	113	40	11306-11311			adolfo-ferrando	adolfo-ferrando	Article	
The genetics and mechanisms of T cell acute lymphoblastic leukaemia	Belver L;Ferrando A	2016	16	8	494-507			adolfo-ferrando	adolfo-ferrando	Article	
The mutational landscape of CTCL and Szary syndrome	da Silva;Abate F;Khiabanian H;Martinez-Escala E;Guitart J;Tensen CP;Vermeer MH;Rabadan R;Ferrando A;Palomero T	2015	47		1465-1470			adolfo-ferrando	adolfo-ferrando	Article	
Metabolic reprogramming induces resistance to anti-NOTCH1 therapies in acute lymphoblastic leukemia	Herranz D;Ambesi-Impiombato A;Sudderth J;Sánchez-Martín M;Belver L;Tosello V;Xu L;Wendorff AA;Castillo M;Haydu JE;Márquez J;Mats JM;Kung AL;Rayport S;Cordon-Cardo C;DeBerardinis RJ;Ferrando AA	2015	21		1182-9			adolfo-ferrando	adolfo-ferrando	Article	
Therapeutic targeting of HES1 transcriptional programs in T-ALL	Schnell SA;Ambesi-Impiombato A;Sanchez-Martin M;Belver L;Xu L;Qin Y;Kageyama R;Ferrando AA	2015	125		2806-14			adolfo-ferrando	adolfo-ferrando	Article	
A NOTCH1-driven MYC enhancer promotes T cell development, transformation and acute lymphoblastic leukemia	Herranz D;Ambesi-Impiombato A;Palomero T;Schnell SA;Wendorff AA;Belver L;Xu L;Castillo-Martin M;Llobet-Navás D;Cordon Cardo;Clappier E;Soulier J;Ferrando AA	2014	20		1130-7			adolfo-ferrando	adolfo-ferrando	Article	
Recurrent mutations in epigenetic regulators, RHOA and FYN kinase in peripheral T cell lymphomas	Palomero T;Couronn L;Khiabanian H;Kim M;Ambesi-Impiombato A;Perez-Garcia A;Carpenter Z;Abate F;Allegretta M;Haydu JE;Jiang X;Lossos IS;Nicolas C;Balbin M;Bhagat G;Piris MA;Campo E;Bernard O;Raul Rabadan;Ferrando AA	2014	46		166-70			adolfo-ferrando	adolfo-ferrando	Article	
Direct reversal of glucocorticoid resistance by AKT inhibition in T-ALL	Piovan E;Yu J;Tosello V;Herranz D;Ambesi-Impiombato A;Da Silva;Perez-Garcia A;Rigo I;Castillo M;Indraccolo S;Paietta E;Racevskis J;Rowe JM;Tallman MS;Basso G;Meijerink JP;Cordon-Cardo C;Califano A;Ferrando AA	2013	24		766-776			adolfo-ferrando	adolfo-ferrando	Article	
Genetic loss of SH2B3 in acute lymphoblastic leukemia	Perez-Garcia A;Ambesi-Impiombato A;Hadler M;Rigo I;LeDuc CA;Kelly K;Jalas C;Paietta E;Racevskis J;Rowe JM;Tallman MS;Paganin M;Basso G;Tong W;Chung WK;Ferrando AA	2013	122		2425-2432			adolfo-ferrando	adolfo-ferrando	Article	
Prognostic relevance of integrated genetic profiling in adult T-cell acute lymphoblastic leukemia	Van Vlierberghe;Ambesi-Impiombato A;De Keersmaecker;Hadler M;Paietta E;Tallman MS;Rowe JM;Forne C;Rue M;Ferrando AA	2013	122		74-82			adolfo-ferrando	adolfo-ferrando	Article	
Activating mutations in the NT5C2 nucleotidase gene drive chemotherapy resistance in relapsed ALL	Tzoneva G;Perez-Garcia A;Carpenter Z;Khiabanian H;Tosello V;Allegretta M;Paietta E;Racevskis J;Rowe JM;Tallman MS;Paganin M;Basso G;Hof J;Kirschner-Schwabe R;Palomero T;Rabadan R;Ferrando A	2013	19		368-71			adolfo-ferrando	adolfo-ferrando	Article	
Reverse engineering of TLX oncogenic transcriptional networks identifies RUNX1 as tumor suppressor in T-ALL	Della Gatta;Palomero T;Perez-Garcia A;Ambesi-Impiombato A;Bansal M;Carpenter ZW;De Keersmaecker;Sole X;Xu L;Paietta E;Racevskis J;Wiernik PH;Rowe JM;Meijerink JP;Califano A;Ferrando AA	2012	18		436-40			adolfo-ferrando	adolfo-ferrando	Article	
Genetic inactivation of the Polycomb complex PRC2 in T cell acute lymphoblastic leukemia	Ntziachristos P;Tsirigos A;Van Vlierberghe;Nedjic J;Trimarchi T;Flaherty MS;Ferres-Marco D;da Ros;Tang Z;Siegle J;Asp P;Hadler M;Rigo I;De Keersmaecker;Patel J;Huynh T;Utro F;Poglio S;Samon JB;Paietta E;Racevskis J,Rowe;Rabadan R;Levine RL;Brown S;Pflumio F;Dominguez M;Ferrando A;Aifantis I	2012	18		298-303			adolfo-ferrando	adolfo-ferrando	Article	
ETV6 mutations in early immature human T-cell leukemias	Van Vlierberghe;Ambesi-Impiombato A;Perez-Garcia A;Haydu JE;Rigo I;Hadler M;Tosello V;Della Gatta;Paietta E;Racevskis J;Luger SM;Rowe JM;Rue M;Ferrando AA	2011	208		2571-9			adolfo-ferrando	adolfo-ferrando	Article	
PHF6 mutations in adult acute myeloid leukemia	Van Vlierberghe;Patel J;Abdel-Wahab O;Lobry C;Hedvat CV;Balbin M;Nicolas C;Payer AR;Fernandez HF;Tallman MS;Paietta E;Melnick A;Vandenberghe P;Speleman F;Aifantis I;Cools J;Levine R;Ferrando A	2011	25		130-4			adolfo-ferrando	adolfo-ferrando	Article	
The TLX1 oncogene drives aneuploidy in T-cell transformation	Keersmaecker K;Real P;Della Gatta;Palomero T;Sulis ML;Tosello V;Van Vlierberghe;Barnes K;Castillo M;Sole X;Hadler M;Lenz J;Aplan P;Kelliher M;Kee B;Pandolfi PP;Kappes D;Gounari F;Petrie H;van der;Speleman F;Paietta E;Racevskis J;Wiernik PH;Rowe JM;Soulier J;Avran E;Cav H;Dastugue N;Raimondi S;Meijerink J;Cordon-Cardo C;Califano A;Ferrando AA	2010	16		1321-7			adolfo-ferrando	adolfo-ferrando	Article	
PHF6 mutations in T-cell acute lymphoblastic leukemia	Van Vlierberghe;Palomero T;Khiabanian H;Van der;Castillo M;Van Roy;De Moerloose;Philipp J;González-García S;Toribio ML;Taghon T;Zuurbier L;Cauwelier B;Harrison CJ;Schwab C;Pisecker M;Strehl S;Langerak AW;Gecz J;Sonneveld E;Pieters R;Paietta E;Rowe JM;Wiernik P;Benoit Y;Soulier J;Poppe B;Yao X;Cordon-Cardo C;Meijerink J;Rabadan R;Speleman F;Ferrando AA	2010	42		338-42			adolfo-ferrando	adolfo-ferrando	Article	
WT1 mutations in T-ALL	Tosello V;Mansour MR;Barnes K;Paganin M;Sulis ML;Jenkinson S;Allen CG;Gale RE;Linch DC;Palomero T;Real P;Murty V;Yao X;Richards SM;Goldstone A;Rowe J;Basso G;Wiernik PH;Paietta E;Pieters R;Horstmann M;Meijerink JP;Ferrando A	2009	114		1038-1045			adolfo-ferrando	adolfo-ferrando	Article	
Gamma-secretase inhibitors reverse glucocorticoid resistance in T-ALL	Real P;Tosello V;Palomero T;Castillo M;Hernando E;Stanchina E;Sulis ML;Barnes K;Sawai K;Homminga I;Meijerink J;Aifantis I;Basso G;Cordon-Cardo C;Ai W;Ferrando A	2009	15		50-8			adolfo-ferrando	adolfo-ferrando	Article	
NOTCH1 extracellular juxtamembrane expansion mutations in T-ALL	Sulis ML;Williams O;Palomero T;Tosello V;Pallikuppam S;Real PJ;Barnes K;Zuurbier L;Meijerink J;Ferrando A	2008	112		733-40			adolfo-ferrando	adolfo-ferrando	Article	
Mutational loss of PTEN induces resistance to NOTCH1 inhibition in T-cell leukemia	Palomero T;Sulis ML;Cortina M;Real PJ;Barnes K;Ciofani M;Caparros E;Buteau J;Brown K;Perkins SL;Bhagat G;Mishra A;Basso G;Castillo M;Nagase S;Cordon-Cardo C;Parsons R;Zúñiga-Pflücker JC;Dominguez M;Ferrando A	2007	13		1203-10			adolfo-ferrando	adolfo-ferrando	Article	
NOTCH1 directly regulates c-MYC and activates a feed-forward-loop transcriptional network promoting leukemic cell growth	Palomero T;Lim WK;Odom D;Sulis ML;Real PJ;Margolin A;Barnes KC;O'Neil J;Neuberg D;Weng AP;Aster JC;Sigaux F;Soulier J;Look AT;Young RA;Califano A;Ferrando A	2006	103		18261-6			adolfo-ferrando	adolfo-ferrando	Article	
The combination of neoantigen quality and T lymphocyte infiltrates identifies glioblastomas with the longest survival	Zhang J;Caruso FP;Sa JK;Justesen S;Nam DH;Sims P;Ceccarelli M;Lasorella A;Iavarone A	2019						anna-lasorella	anna-lasorella	Article	
The molecular landscape of glioma in patients with Neurofibromatosis 1	D'Angelo F;Ceccarelli M;Tala A;Garofano L;Zhang J;Frattini V;Caruso FP;Lewis G;Alfaro KD;Bauchet L;Berzero G;Cachia D;Cangiano M;Capelle L;de Groot;DiMeco F;Ducray F;Farah W;Finocchiaro G;Goutagny S;Kamiya-Matsuoka C;Lavarino C;Loiseau H;Lorgis V;Marras CE;McCutcheon I;Nam DH;Ronchi S;Saletti V;Seizeur R;Slopis J;Suñol M;Vandenbos F;Varlet P;Vidaud D;Watts C;Tabar V;Reuss DE;Kim SK;Meyronet D;Mokhtari K;Salvador H;Bhat KP;Eoli M;Sanson M;Lasorella A;Iavarone A	2019	25	1	176-187			anna-lasorella	anna-lasorella	Article	
Single-cell transcriptome analysis of lineage diversity in high-grade glioma	Yuan J;Levitin HM;Frattini V;Bush EC;Boyett DM;Samanamud J;Ceccarelli M;Dovas A;Zanazzi G;Canoll P;Bruce JN;Lasorella A;Iavarone A;Sims PA	2018						anna-lasorella	anna-lasorella	Article	
A recurrent point mutation in PRKCA is a hallmark of chordoid gliomas	Rosenberg S;Simeonova I;Bielle F;Verreault M;Bance B;Le Roux;Daniau M;Nadaradjane A;Gleize V;Paris S;Marie Y;Giry M;Polivka M;Figarella-Branger D;Aubriot-Lorton MH;Villa C;Vasiljevic A;Lechapt-Zalcman E;Kalamarides M;Sharif A;Mokhtari K;Pagnotta SM;Iavarone A;Lasorella A;Huillard E;Sanson M	2018						anna-lasorella	anna-lasorella	Article	
Transcription factor ID2 prevents E proteins from enforcing a naïve T lymphocyte gene program during NK cell development	Zook EC;Li ZY;Xu Y;de Pooter;Verykokakis M;Beaulieu A;Lasorella A;Maienschein-Cline M;Sun JC;Sigvardsson M;Kee BL	2018						anna-lasorella	anna-lasorella	Article	
Cross-Cohort Analysis Identifies a TEAD4-MYCN Positive Feedback Loop as the Core Regulatory Element of High-Risk Neuroblastoma	Rajbhandari P;Lopez G;Capdevila C;Salvatori B;Yu J;Rodriguez-Barrueco R;Martinez D;Yarmarkovich M;Weichert-Leahey N;Abraham BJ;Alvarez MJ;Iyer A;Harenza JL;Oldridge D;De Preter;Koster J;Asgharzadeh S;Seeger RC;Wei JS;Khan J;Vandesompele J;Mestdagh P;Versteeg R;Look AT;Young RA;Iavarone A;Lasorella A;Silva JM;Maris JM;Califano A	2018	8	5	582-599			anna-lasorella	anna-lasorella	Article	
Frattini V, Pagnotta SM, Tala A, Fan JJ, Russo MV, Lee SB, Garofano L, Zhang J, Shi P, Lewis G, Sanson H, Frederick V, Castano AM, Cerulo L, Rolland DCM, Mall R, Mokhtari K, Elenitoba-Johnson KSJ, Sanson M, Huang X, Ceccarelli M, Lasorella A, Iavarone A	A metabolic	2018	553	7687	222-227			anna-lasorella	anna-lasorella	Article	
Huwe1 Sustains Normal Ovarian Epithelial Cell Transformation and Tumor Growth through the Histone H1.3-H19 Cascade	Yang D;Sun B;Zhang X;Cheng D;Yu X;Yan L;Li L;An S;Jiang H;Lasorella A;Iavarone A;Zhang S;Zou F;Zhao X	2017	77	18	4773-4784			anna-lasorella	anna-lasorella	Article	
FGFR-TACC gene fusions in human glioma	Lasorella A;Sanson M;Iavarone A	2017	19	4	475-483			anna-lasorella	anna-lasorella	Article	
The ubiquitin ligase Huwe1 regulates the maintenance and lymphoid commitment of hematopoietic stem cells	King B;Boccalatte F;Moran-Crusio K;Wolf E;Wang J;Kayembe C;Lazaris C;Yu X;Aranda-Orgilles B;Lasorella A;Aifantis I	2016	17	11	1312-1321			anna-lasorella	anna-lasorella	Article	
Clonal evolution of glioblastoma under therapy	Wang J;Cazzato E;Ladewig E;Frattini V;Rosenbloom DI;Zairis S;Abate F;Liu Z;Elliott O;Shin YJ;Lee JK;Lee IH;Park WY;Eoli M;Blumberg AJ;Lasorella A;Nam DH;Finocchiaro G;Iavarone A;Rabadan R	2016	48	7	768-76			anna-lasorella	anna-lasorella	Article	
Id2 reinforces TH1 differentiation and inhibits E2A to repress TFH differentiation	Shaw LA;Blanger S;Omilusik KD;Cho S;Scott-Browne JP;Nance JP;Goulding J;Lasorella A;Lu LF;Crotty S;Goldrath AW	2016	17	7	834-43			anna-lasorella	anna-lasorella	Article	
An ID2-dependent mechanism for VHL inactivation in cancer	Lee SB;Frattini V;Bansal M;Castano AM;Sherman D;Hutchinson K;Bruce JN;Califano A;Liu G;Cardozo T;Iavarone A;Lasorella A	2016	529	7585	172-7			anna-lasorella	anna-lasorella	Article	
